model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,run_label,source_dir,inferred_max_iter,mean_numerical_guard_event_count,max_numerical_guard_event_count
standard_dfm,pseudo,pre_advance,DELTA_SA,4,0.2295103660578485,0.1518678511667441,0.137189589028803,1.0309617946578704,,0.75,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
ar,pseudo,pre_second,DELTA_TS,4,0.0983874810469687,0.0803600845475338,-0.0600133792012362,1.0,1.0,1.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
bridge,pseudo,pre_second,DELTA_TS,4,0.2103568550051902,0.1874901849425814,-0.176283471070235,2.1380449297687467,,0.25,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,0.0,2.0,0.0951829173795192,0.0952035941270259,0.0957214907570809,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,4,0.1536441624065535,0.1347453975818018,-0.1347453975818018,1.5616230924054866,,1.0,0.0,2.0,0.088355558512701,0.0883803188573376,0.0888837732045038,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
midas_umidas,pseudo,pre_second,DELTA_TS,4,0.4805893953819334,0.3498231739406953,-0.3395333245242488,4.884660022472848,,0.25,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,4,0.1507362342763777,0.1197369151449284,-0.1197369151449284,1.532067217011262,,0.5,0.0,2.0,0.0710558269729119,0.0709503440696023,0.0720058711205585,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
no_revision,pseudo,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
release_dfm,pseudo,pre_second,DELTA_TS,4,0.1182648701553379,0.0979156200701822,-0.0893357444493083,1.2020316903822346,,1.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,4,0.1536592524773548,0.1347435352895253,-0.1347435352895253,1.5617764662965616,,1.0,0.0,2.0,0.1341143584024821,0.1339104240781486,0.1361462749008666,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
spf,pseudo,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
standard_dfm,pseudo,pre_second,DELTA_TS,4,0.1000178366801987,0.0814061312722943,-0.0676887389200741,1.0165707630267684,,1.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
ar,pseudo,pre_third,DELTA_MT,4,0.6295988853033146,0.4894934026892072,0.3896897513886399,1.0,1.0,0.5,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
bridge,pseudo,pre_third,DELTA_MT,4,0.5596576679280534,0.4830427188861765,0.2595001869190048,0.8889114656841133,,0.5,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,0.0,2.0,0.0951101585150634,0.0949714117433003,0.0957400870167477,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,4,0.5803525609584138,0.5489689392115127,0.141522665212485,0.921781430217787,,0.5,0.0,2.0,0.0878647893551093,0.087740073065446,0.0888656793692706,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
midas_umidas,pseudo,pre_third,DELTA_MT,4,3.3706262681170545,2.7869541601248584,1.300536112813933,5.353609014878142,,0.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,4,0.596361638750876,0.5751519648703571,0.0985102942921214,0.9472088541954352,,0.0,0.0,2.0,0.0706954594353465,0.0705479108789231,0.0713924383108105,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
no_revision,pseudo,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
release_dfm,pseudo,pre_third,DELTA_MT,4,0.7415950527564422,0.6205317354408802,0.3928046583914252,1.177884951939158,,0.5,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,4,0.5741010767932273,0.5432712912751295,0.1398753168508902,0.911852117585388,,0.5,0.0,2.0,0.1336021325031272,0.1331348425986035,0.1353880999702307,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
spf,pseudo,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
standard_dfm,pseudo,pre_third,DELTA_MT,4,0.719256994550536,0.613811611586509,0.4401285921622883,1.142405127042161,,0.5,1.0,0.0,,,,sensitivity_k2_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter2,2.0,0.0,0.0
ar,exact,pre_advance,DELTA_SA,4,0.2226177218662235,0.1455031403937476,0.1138789099155743,1.0,1.0,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,4,0.1962886144570712,0.1548116252172804,0.0430696125627639,0.8817295083768122,,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,0.0,2.0,0.0862917117959787,0.086562832909412,0.0866588114556838,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,4,0.3100212329496549,0.2381156665760441,0.1788577345617132,1.3926170403268892,,0.5,0.0,2.0,0.079750575118268,0.0804061724247816,0.0804939151519712,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,4,0.4097634891173515,0.3888610670346591,0.029268463172435,1.8406597897160604,,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,4,0.2389210561936911,0.1458280740202106,0.1130290076869848,1.0732346651955438,,0.75,0.0,2.0,0.0664332479754276,0.0655521731317388,0.0692688637525495,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.1347420190590154,0.1246452024463416,0.9959530778835396,,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.3204254192767376,0.2577950211944855,0.1803065750672215,1.4393527010814038,,0.5,0.0,2.0,0.1243206129695305,0.1228935248475887,0.1288209015766801,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
spf,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.1347420190590154,0.1246452024463416,0.9959530778835396,,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
ar,exact,pre_second,DELTA_TS,4,0.0983874810469687,0.0803600845475338,-0.0600133792012362,1.0,1.0,1.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
bridge,exact,pre_second,DELTA_TS,4,0.2039906980474367,0.1831455656700534,-0.1692984844049772,2.0733399806226815,,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,0.0,2.0,0.0867972025561768,0.0866797881246065,0.0872360829728644,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,4,0.1537023074608053,0.1348063350277302,-0.1348063350277302,1.562214072615906,,1.0,0.0,2.0,0.0806454677596673,0.0805212701638941,0.0810793314711936,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,4,0.3678611740910428,0.3429263008835605,-0.3429263008835605,3.7389022482995697,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,4,0.1503065059196547,0.1184600823817847,-0.1184600823817847,1.527699503231519,,0.5,0.0,2.0,0.0672388068588927,0.067135621754494,0.0692987749772407,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,4,0.1126363523955676,0.0915272113375784,-0.085010540231591,1.1448240283923592,,1.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1536723934642132,0.1347530387754858,-0.1347530387754858,1.5619100299036237,,1.0,0.0,2.0,0.1257504711851246,0.1255715528948837,0.1290358380930415,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
spf,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,4,0.1024598459234908,0.0845288942523458,-0.0699575915103602,1.041391087902515,,1.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
ar,exact,pre_third,DELTA_MT,4,0.6295988853033146,0.4894934026892072,0.3896897513886399,1.0,1.0,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
bridge,exact,pre_third,DELTA_MT,4,0.5552759332896955,0.4788809447099557,0.25756770551075,0.881951900251835,,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,0.0,2.0,0.0859100769540367,0.0860050228993695,0.0867183358911262,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,4,0.5726276793545612,0.5420338471665762,0.1389454631013884,0.9095119015001002,,0.5,0.0,2.0,0.0789787229272264,0.079081189942025,0.0805353728668932,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,4,1.2330397423666315,0.9061491685248604,0.4902863808241576,1.9584528676104695,,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,4,0.5922996295318197,0.5716509664672424,0.0987020950427118,0.94075711275517,,0.0,0.0,2.0,0.0663663302426054,0.0657116327922844,0.0687056553064942,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,4,0.6476687847705994,0.5579266076178505,0.3111794916057876,1.0287006535257437,,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5741431923138749,0.5431611175927915,0.1410991994573143,0.9119190102080256,,0.5,0.0,2.0,0.1245112679746349,0.1234470658973426,0.1282338233026543,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
spf,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,4,0.6549096861246385,0.5346146519012216,0.3947721115551703,1.0402014701934077,,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
ar,pseudo,pre_advance,DELTA_SA,4,0.2226177218662235,0.1455031403937476,0.1138789099155743,1.0,1.0,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,4,0.2035166972574194,0.16209213233892,0.0338744477428037,0.9141980950632386,,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,0.0,2.0,0.0862911991947394,0.0865617458314697,0.0866586663468417,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.307423636693409,0.2320024036060825,0.1830279708508568,1.380948624019014,,0.75,0.0,2.0,0.0797499673017993,0.08040510813982,0.0804934013412206,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
midas_umidas,pseudo,pre_advance,DELTA_SA,4,0.4165190130735905,0.4020051142066098,0.0082649731357677,1.8710056395415229,,0.5,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.2387162924628329,0.1460294089780889,0.1126482568039049,1.072314865418861,,0.75,0.0,2.0,0.0664162861582111,0.0655284675009906,0.0692601193167742,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
no_revision,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
release_dfm,pseudo,pre_advance,DELTA_SA,4,0.2217189807060592,0.1347604725130756,0.1246284116314245,0.9959628498907,,0.75,1.0,0.0,,,,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.3175221918907249,0.252412906727427,0.1839651743844732,1.426311388100233,,0.5,0.0,2.0,0.1243088734524646,0.1228713703009963,0.1288208237355194,sensitivity_midas_lags4_max_iter2,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter2,2.0,0.0,0.0
